1 experiment
BestFS:,92,2445
AStar:,68,3504

231 experiment
DFS:,1491,72816
BFS:,111,5431
BestFS:,143,3833
AStar:,111,5831

232 experiment
DFS:,3688,174977
BFS:,168,7625
BestFS:,296,7989
AStar:,168,7451

233 experiment
DFS:,2574,126429
BFS:,142,6768
BestFS:,262,7261
AStar:,142,7400

234 experiment
DFS:,807,39247
BFS:,87,4130
BestFS:,139,3964
AStar:,87,4300

235 experiment
DFS:,2400,117280
BFS:,144,7381
BestFS:,258,6828
AStar:,144,6906

236 experiment
DFS:,882,43777
BFS:,114,6039
BestFS:,214,6569
AStar:,114,5472

237 experiment
DFS:,1439,69438
BFS:,119,5440
BestFS:,175,4393
AStar:,119,5389

238 experiment
DFS:,2200,105236
BFS:,130,5776
BestFS:,192,5248
AStar:,130,6417

239 experiment
DFS:,878,42369
BFS:,98,4736
BestFS:,134,3840
AStar:,98,4774

240 experiment
DFS:,1034,49027
BFS:,114,5714
BestFS:,180,5018
AStar:,114,5281

241 experiment
DFS:,615,29605
BFS:,95,4595
BestFS:,161,4630
AStar:,95,4552

242 experiment
DFS:,1105,52499
BFS:,105,5165
BestFS:,199,5024
AStar:,105,4925

243 experiment
DFS:,2574,124356
BFS:,142,7069
BestFS:,234,5972
AStar:,142,7387

244 experiment
DFS:,318,15271
BFS:,70,2961
BestFS:,106,3248
AStar:,70,3678

245 experiment
DFS:,3697,179395
BFS:,169,7875
BestFS:,223,5947
AStar:,169,8149

246 experiment
DFS:,1698,82834
BFS:,130,6635
BestFS:,228,5803
AStar:,130,6636

247 experiment
DFS:,170,8780
BFS:,42,2358
BestFS:,52,1492
AStar:,42,2468

248 experiment
DFS:,3770,180949
BFS:,170,8924
BestFS:,240,6434
AStar:,170,8645

249 experiment
DFS:,2223,109397
BFS:,133,7111
BestFS:,259,7027
AStar:,133,6950

250 experiment
DFS:,233,10331
BFS:,41,1842
BestFS:,67,1912
AStar:,41,1880

251 experiment
DFS:,45,1824
BFS:,17,594
BestFS:,23,666
AStar:,17,790

252 experiment
DFS:,1666,81685
BFS:,118,5713
BestFS:,192,4870
AStar:,118,5946

253 experiment
DFS:,935,45236
BFS:,105,4699
BestFS:,161,4215
AStar:,105,4969

254 experiment
DFS:,783,38359
BFS:,81,4072
BestFS:,113,3286
AStar:,81,4130

255 experiment
DFS:,46,2364
BFS:,18,1041
BestFS:,20,648
AStar:,18,1044

256 experiment
DFS:,524,25746
BFS:,68,3406
BestFS:,84,2179
AStar:,68,3663

257 experiment
DFS:,4163,203382
BFS:,179,8270
BestFS:,269,7752
AStar:,179,8762

258 experiment
DFS:,1684,82708
BFS:,116,5690
BestFS:,150,4087
AStar:,116,5374

259 experiment
DFS:,556,25803
BFS:,76,4035
BestFS:,108,2623
AStar:,76,3837

260 experiment
DFS:,818,40146
BFS:,78,3397
BestFS:,122,3545
AStar:,78,4083

261 experiment
DFS:,107,5980
BFS:,39,1994
BestFS:,49,2000
AStar:,39,2143

262 experiment
DFS:,1740,85255
BFS:,116,5830
BestFS:,152,4336
AStar:,116,5231

263 experiment
DFS:,1247,60146
BFS:,119,5617
BestFS:,219,6260
AStar:,119,6069

264 experiment
DFS:,403,18940
BFS:,53,2551
BestFS:,67,1728
AStar:,53,2171

265 experiment
DFS:,3120,151145
BFS:,156,7594
BestFS:,244,7031
AStar:,156,7287

266 experiment
DFS:,861,40775
BFS:,101,4779
BestFS:,165,4106
AStar:,101,4563

267 experiment
DFS:,133,6644
BFS:,43,2154
BestFS:,59,2005
AStar:,43,2294

268 experiment
DFS:,1349,65074
BFS:,101,5055
BestFS:,135,3487
AStar:,101,4777

269 experiment
DFS:,1681,79834
BFS:,113,5245
BestFS:,215,6194
AStar:,113,5830

270 experiment
DFS:,691,33843
BFS:,109,5572
BestFS:,161,4190
AStar:,109,4954

271 experiment
DFS:,1111,54759
BFS:,91,4108
BestFS:,147,4117
AStar:,91,4422

272 experiment
DFS:,264,13258
BFS:,44,2253
BestFS:,64,1817
AStar:,44,2294

273 experiment
DFS:,376,17799
BFS:,64,2740
BestFS:,88,2635
AStar:,64,2853

274 experiment
DFS:,686,32303
BFS:,110,5226
BestFS:,180,4945
AStar:,110,4935

275 experiment
DFS:,1026,49787
BFS:,90,4430
BestFS:,132,3758
AStar:,90,4083

276 experiment
DFS:,615,29873
BFS:,99,5029
BestFS:,153,4164
AStar:,99,5059

277 experiment
DFS:,2399,115496
BFS:,143,6614
BestFS:,215,5868
AStar:,143,7230

278 experiment
DFS:,282,13879
BFS:,98,4623
BestFS:,140,4301
AStar:,98,4435

279 experiment
DFS:,1045,51615
BFS:,91,4579
BestFS:,143,3705
AStar:,91,4340

280 experiment
